case,noise,drop,ours,solver,ours_feas,solver_feas,ours_phys,solver_phys
clean,0.0,0,0.413332576177617,0.7093948975293216,100.0,100.0,108.98937762221284,0.002810890621799145
noise 2 px,2.0,0,0.5090025242062384,0.716762723866611,100.0,100.0,148.5313894846803,0.0028334244534859348
noise 4 px,4.0,0,0.6487342914113843,0.7497313271512638,100.0,100.0,219.94180926985598,0.0028704436477399982
noise 8 px,8.0,0,0.9976854723809783,0.732699408440803,100.0,100.0,366.4973697259294,0.0028076208126809024
noise 16 px,16.0,0,1.327304933861841,0.7690059775593632,100.0,100.0,665.8061072137668,0.0029647712730542296
1 frame held,0.0,1,0.44862104353684024,0.6982090812247121,100.0,100.0,118.70244836961987,0.002824068646419702
3 frames held,0.0,3,0.47526955883262934,0.7054753392405126,100.0,100.0,137.3796513886688,0.002804029198228112
5 frames held,0.0,5,0.5620638253317214,0.8059567359690059,100.0,100.0,158.49049801651677,0.0027499130251984654
4 px + 3 held,4.0,3,0.6557752153431486,0.7375259831091101,100.0,100.0,233.20798695360537,0.002791518412805882
