case,noise,drop,ours,solver,ours_feas,solver_feas,ours_phys,solver_phys
clean,0.0,0,0.4619563138577492,,100.0,,90.3195418492669,
noise 2 px,2.0,0,0.4712564593197792,,100.0,,120.86315415087029,
noise 4 px,4.0,0,0.4849830357046373,,100.0,,181.75745478593666,
noise 8 px,8.0,0,0.5550445674846999,,100.0,,313.87343604766284,
noise 16 px,16.0,0,0.7027304989862562,,100.0,,575.2990907885631,
1 frame held,0.0,1,0.49819808286605716,,100.0,,98.39648790428642,
3 frames held,0.0,3,0.4981741556056601,,100.0,,116.10606024030614,
5 frames held,0.0,5,0.5608561029910397,,100.0,,124.68442741253018,
4 px + 3 held,4.0,3,0.5645343686563531,,100.0,,186.43297728719762,
